Area,Age,Year at 30 June,Sex,Value
Otago region,75-79 Years,2012,Female,2910
Northland region,80-84 Years,2015,Female,1940
Otago region,75-79 Years,2015,Female,3220
Otago region,75-79 Years,2014,Female,3100
Northland region,80-84 Years,2011,Female,1840
Northland region,80-84 Years,2013,Female,1870
Northland region,80-84 Years,2014,Female,1930
Northland region,80-84 Years,2012,Female,1850
Northland region,80-84 Years,2010,Female,1810
Canterbury region,75-79 Years,2011,Female,7930
Canterbury region,75-79 Years,2013,Female,8120
Northland region,80-84 Years,2007,Female,1640
Northland region,80-84 Years,2009,Female,1740
Northland region,80-84 Years,2008,Female,1710
Otago region,75-79 Years,2006,Female,3090
Northland region,80-84 Years,2006,Female,1610
Canterbury region,75-79 Years,2014,Female,8360
Canterbury region,75-79 Years,2007,Female,8630
Canterbury region,75-79 Years,2009,Female,8380
Canterbury region,75-79 Years,2012,Female,7980
Canterbury region,75-79 Years,2008,Female,8520
Canterbury region,75-79 Years,2010,Female,8160
West Coast region,75-79 Years,2015,Female,500
Canterbury region,75-79 Years,2015,Female,8760
Canterbury region,75-79 Years,2006,Female,8740
West Coast region,75-79 Years,2010,Female,430
West Coast region,75-79 Years,2011,Female,420
West Coast region,75-79 Years,2013,Female,470
West Coast region,75-79 Years,2014,Female,470
West Coast region,75-79 Years,2012,Female,440
West Coast region,75-79 Years,2008,Female,460
Marlborough region,75-79 Years,2009,Female,790
West Coast region,75-79 Years,2009,Female,460
Marlborough region,75-79 Years,2010,Female,780
Marlborough region,75-79 Years,2012,Female,770
Marlborough region,75-79 Years,2013,Female,790
Marlborough region,75-79 Years,2011,Female,770
Marlborough region,75-79 Years,2014,Female,780
Nelson region,75-79 Years,2015,Female,840
Marlborough region,75-79 Years,2015,Female,840
Nelson region,75-79 Years,2011,Female,740
Nelson region,75-79 Years,2009,Female,740
Nelson region,75-79 Years,2010,Female,730
Nelson region,75-79 Years,2012,Female,780
Nelson region,75-79 Years,2014,Female,800
Tasman region,75-79 Years,2015,Female,830
Nelson region,75-79 Years,2013,Female,790
Tasman region,75-79 Years,2011,Female,680
Tasman region,75-79 Years,2013,Female,760
Tasman region,75-79 Years,2014,Female,800
Tasman region,75-79 Years,2012,Female,730
Tasman region,75-79 Years,2010,Female,660
West Coast region,75-79 Years,2007,Female,450
Tasman region,75-79 Years,2009,Female,630
West Coast region,75-79 Years,2006,Female,440
Marlborough region,75-79 Years,2008,Female,780
Nelson region,75-79 Years,2007,Female,740
Marlborough region,75-79 Years,2007,Female,800
Marlborough region,75-79 Years,2006,Female,790
Nelson region,75-79 Years,2006,Female,780
Nelson region,75-79 Years,2008,Female,750
Tasman region,75-79 Years,2006,Female,580
Wellington region,75-79 Years,2015,Female,6620
Tasman region,75-79 Years,2007,Female,590
Tasman region,75-79 Years,2008,Female,600
Wellington region,75-79 Years,2009,Female,5910
Wellington region,75-79 Years,2007,Female,5880
Wellington region,75-79 Years,2006,Female,5850
Wellington region,75-79 Years,2008,Female,5920
Wellington region,75-79 Years,2010,Female,5820
Wellington region,75-79 Years,2012,Female,5920
Wellington region,75-79 Years,2014,Female,6230
Wellington region,75-79 Years,2011,Female,5800
Wellington region,75-79 Years,2013,Female,6000
Manawatu-Wanganui region,75-79 Years,2013,Female,3720
Manawatu-Wanganui region,75-79 Years,2015,Female,3960
Taranaki region,75-79 Years,2015,Female,1870
Manawatu-Wanganui region,75-79 Years,2011,Female,3670
Manawatu-Wanganui region,75-79 Years,2010,Female,3640
Manawatu-Wanganui region,75-79 Years,2012,Female,3690
Manawatu-Wanganui region,75-79 Years,2014,Female,3820
Manawatu-Wanganui region,75-79 Years,2007,Female,3590
Manawatu-Wanganui region,75-79 Years,2009,Female,3620
Manawatu-Wanganui region,75-79 Years,2006,Female,3570
Manawatu-Wanganui region,75-79 Years,2008,Female,3570
Taranaki region,75-79 Years,2014,Female,1820
Taranaki region,75-79 Years,2009,Female,1730
Taranaki region,75-79 Years,2007,Female,1750
Taranaki region,75-79 Years,2013,Female,1810
Taranaki region,75-79 Years,2011,Female,1730
Taranaki region,75-79 Years,2012,Female,1760
Taranaki region,75-79 Years,2010,Female,1730
Taranaki region,75-79 Years,2008,Female,1750
Taranaki region,75-79 Years,2006,Female,1820
Hawke's Bay region,75-79 Years,2012,Female,2420
Hawke's Bay region,75-79 Years,2010,Female,2410
Hawke's Bay region,75-79 Years,2011,Female,2420
Hawke's Bay region,75-79 Years,2013,Female,2460
Hawke's Bay region,75-79 Years,2014,Female,2550
Gisborne region,75-79 Years,2015,Female,660
Hawke's Bay region,75-79 Years,2015,Female,2700
Gisborne region,75-79 Years,2014,Female,620
Gisborne region,75-79 Years,2011,Female,590
Gisborne region,75-79 Years,2013,Female,610
Gisborne region,75-79 Years,2012,Female,610
Hawke's Bay region,75-79 Years,2006,Female,2330
Gisborne region,75-79 Years,2009,Female,630
Gisborne region,75-79 Years,2007,Female,620
Hawke's Bay region,75-79 Years,2007,Female,2360
Hawke's Bay region,75-79 Years,2009,Female,2380
Hawke's Bay region,75-79 Years,2008,Female,2360
Gisborne region,75-79 Years,2008,Female,620
Gisborne region,75-79 Years,2006,Female,630
Gisborne region,75-79 Years,2010,Female,630
Bay of Plenty region,75-79 Years,2012,Female,4470
Bay of Plenty region,75-79 Years,2015,Female,5140
Bay of Plenty region,75-79 Years,2013,Female,4650
Bay of Plenty region,75-79 Years,2014,Female,4820
Bay of Plenty region,75-79 Years,2011,Female,4380
Bay of Plenty region,75-79 Years,2009,Female,4380
Bay of Plenty region,75-79 Years,2010,Female,4340
Waikato region,75-79 Years,2011,Female,5410
Waikato region,75-79 Years,2015,Female,6290
Waikato region,75-79 Years,2013,Female,5660
Bay of Plenty region,75-79 Years,2007,Female,4280
Bay of Plenty region,75-79 Years,2008,Female,4330
Bay of Plenty region,75-79 Years,2006,Female,4300
Waikato region,75-79 Years,2012,Female,5520
Waikato region,75-79 Years,2014,Female,5940
Waikato region,75-79 Years,2007,Female,5370
Waikato region,75-79 Years,2009,Female,5420
Waikato region,75-79 Years,2006,Female,5240
Waikato region,75-79 Years,2010,Female,5400
Waikato region,75-79 Years,2008,Female,5430
Auckland region,75-79 Years,2013,Female,15470
Southland region,70-74 Years,2015,Female,1850
Southland region,70-74 Years,2014,Female,1830
Auckland region,75-79 Years,2014,Female,16270
Southland region,70-74 Years,2013,Female,1820
Auckland region,75-79 Years,2015,Female,17310
Northland region,75-79 Years,2015,Female,2910
Otago region,70-74 Years,2015,Female,4270
Southland region,70-74 Years,2012,Female,1840
Southland region,70-74 Years,2009,Female,1660
Southland region,70-74 Years,2011,Female,1810
Northland region,75-79 Years,2014,Female,2670
Southland region,70-74 Years,2006,Female,1640
Auckland region,75-79 Years,2011,Female,14440
Southland region,70-74 Years,2007,Female,1640
Southland region,70-74 Years,2010,Female,1720
Southland region,70-74 Years,2008,Female,1650
Auckland region,75-79 Years,2012,Female,14950
Auckland region,75-79 Years,2010,Female,14190
Otago region,70-74 Years,2013,Female,4050
Northland region,75-79 Years,2013,Female,2540
Auckland region,75-79 Years,2007,Female,14190
Auckland region,75-79 Years,2009,Female,14050
Auckland region,75-79 Years,2008,Female,14130
Auckland region,75-79 Years,2006,Female,14190
Northland region,75-79 Years,2012,Female,2480
Otago region,70-74 Years,2012,Female,3990
Otago region,70-74 Years,2014,Female,4130
Otago region,70-74 Years,2006,Female,3370
Otago region,70-74 Years,2008,Female,3390
Canterbury region,70-74 Years,2015,Female,11190
Otago region,70-74 Years,2011,Female,3760
Otago region,70-74 Years,2009,Female,3480
Otago region,70-74 Years,2007,Female,3320
Otago region,70-74 Years,2010,Female,3560
Northland region,75-79 Years,2011,Female,2400
West Coast region,70-74 Years,2015,Female,710
Northland region,75-79 Years,2010,Female,2340
Northland region,75-79 Years,2008,Female,2310
Canterbury region,70-74 Years,2013,Female,10720
Canterbury region,70-74 Years,2011,Female,10230
Northland region,75-79 Years,2007,Female,2280
Northland region,75-79 Years,2009,Female,2340
Northland region,75-79 Years,2006,Female,2250
Canterbury region,70-74 Years,2014,Female,10980
West Coast region,70-74 Years,2011,Female,610
West Coast region,70-74 Years,2013,Female,640
Canterbury region,70-74 Years,2012,Female,10500
West Coast region,70-74 Years,2014,Female,660
West Coast region,70-74 Years,2012,Female,650
Canterbury region,70-74 Years,2006,Female,9070
Canterbury region,70-74 Years,2007,Female,9230
Canterbury region,70-74 Years,2009,Female,9630
Canterbury region,70-74 Years,2010,Female,10020
West Coast region,70-74 Years,2007,Female,520
West Coast region,70-74 Years,2009,Female,550
Canterbury region,70-74 Years,2008,Female,9360
West Coast region,70-74 Years,2006,Female,500
West Coast region,70-74 Years,2010,Female,580
West Coast region,70-74 Years,2008,Female,550
Marlborough region,70-74 Years,2015,Female,1270
Marlborough region,70-74 Years,2013,Female,1130
Marlborough region,70-74 Years,2012,Female,1090
Marlborough region,70-74 Years,2014,Female,1220
Marlborough region,70-74 Years,2007,Female,870
Marlborough region,70-74 Years,2011,Female,980
Marlborough region,70-74 Years,2010,Female,920
Nelson region,70-74 Years,2015,Female,1130
Marlborough region,70-74 Years,2009,Female,870
Marlborough region,70-74 Years,2008,Female,880
Marlborough region,70-74 Years,2006,Female,870
Nelson region,70-74 Years,2011,Female,920
Nelson region,70-74 Years,2013,Female,1010
Nelson region,70-74 Years,2012,Female,990
Nelson region,70-74 Years,2014,Female,1070
Nelson region,70-74 Years,2010,Female,850
Tasman region,70-74 Years,2009,Female,860
Tasman region,70-74 Years,2007,Female,790
Nelson region,70-74 Years,2007,Female,780
Nelson region,70-74 Years,2009,Female,800
Nelson region,70-74 Years,2008,Female,780
Tasman region,70-74 Years,2008,Female,830
Tasman region,70-74 Years,2010,Female,900
Tasman region,70-74 Years,2013,Female,1080
Tasman region,70-74 Years,2011,Female,980
Tasman region,70-74 Years,2014,Female,1150
Tasman region,70-74 Years,2012,Female,1050
Wellington region,70-74 Years,2011,Female,7780
Tasman region,70-74 Years,2015,Female,1210
Nelson region,70-74 Years,2006,Female,740
Tasman region,70-74 Years,2006,Female,770
Wellington region,70-74 Years,2015,Female,8790
Wellington region,70-74 Years,2013,Female,8260
Wellington region,70-74 Years,2012,Female,8120
Wellington region,70-74 Years,2014,Female,8550
Wellington region,70-74 Years,2009,Female,6950
Wellington region,70-74 Years,2007,Female,6660
Wellington region,70-74 Years,2008,Female,6720
Wellington region,70-74 Years,2010,Female,7340
Wellington region,70-74 Years,2006,Female,6580
Manawatu-Wanganui region,70-74 Years,2011,Female,4590
Manawatu-Wanganui region,70-74 Years,2015,Female,5070
Manawatu-Wanganui region,70-74 Years,2014,Female,4980
Manawatu-Wanganui region,70-74 Years,2012,Female,4810
Taranaki region,70-74 Years,2013,Female,2170
Taranaki region,70-74 Years,2015,Female,2320
Taranaki region,70-74 Years,2011,Female,2150
Manawatu-Wanganui region,70-74 Years,2013,Female,4920
Taranaki region,70-74 Years,2012,Female,2170
Taranaki region,70-74 Years,2014,Female,2280
Manawatu-Wanganui region,70-74 Years,2008,Female,4150
Manawatu-Wanganui region,70-74 Years,2009,Female,4220
Manawatu-Wanganui region,70-74 Years,2007,Female,4160
Manawatu-Wanganui region,70-74 Years,2006,Female,4150
Manawatu-Wanganui region,70-74 Years,2010,Female,4390
Taranaki region,70-74 Years,2010,Female,2060
Taranaki region,70-74 Years,2008,Female,1980
Taranaki region,70-74 Years,2007,Female,1940
Taranaki region,70-74 Years,2009,Female,2010
Taranaki region,70-74 Years,2006,Female,1910
Hawke's Bay region,70-74 Years,2013,Female,3350
Hawke's Bay region,70-74 Years,2015,Female,3530
Hawke's Bay region,70-74 Years,2014,Female,3440
Hawke's Bay region,70-74 Years,2012,Female,3310
Gisborne region,70-74 Years,2011,Female,800
Hawke's Bay region,70-74 Years,2011,Female,3100
Hawke's Bay region,70-74 Years,2010,Female,2940
Gisborne region,70-74 Years,2012,Female,820
Gisborne region,70-74 Years,2015,Female,840
Gisborne region,70-74 Years,2013,Female,840
Gisborne region,70-74 Years,2014,Female,850
Bay of Plenty region,70-74 Years,2012,Female,6310
Bay of Plenty region,70-74 Years,2013,Female,6370
Bay of Plenty region,70-74 Years,2011,Female,5970
Bay of Plenty region,70-74 Years,2014,Female,6640
Hawke's Bay region,70-74 Years,2007,Female,2610
Bay of Plenty region,70-74 Years,2015,Female,6910
Hawke's Bay region,70-74 Years,2006,Female,2640
Gisborne region,70-74 Years,2010,Female,750
Gisborne region,70-74 Years,2009,Female,710
Hawke's Bay region,70-74 Years,2009,Female,2780
Hawke's Bay region,70-74 Years,2008,Female,2660
Gisborne region,70-74 Years,2008,Female,720
Bay of Plenty region,70-74 Years,2009,Female,5280
Gisborne region,70-74 Years,2007,Female,720
Gisborne region,70-74 Years,2006,Female,720
Bay of Plenty region,70-74 Years,2010,Female,5540
Waikato region,70-74 Years,2012,Female,7770
Waikato region,70-74 Years,2013,Female,7960
Waikato region,70-74 Years,2011,Female,7340
Waikato region,70-74 Years,2014,Female,8290
Bay of Plenty region,70-74 Years,2007,Female,4930
Waikato region,70-74 Years,2015,Female,8740
Bay of Plenty region,70-74 Years,2008,Female,5130
Bay of Plenty region,70-74 Years,2006,Female,4810
Waikato region,70-74 Years,2010,Female,6870
Auckland region,70-74 Years,2013,Female,21960
Auckland region,70-74 Years,2015,Female,23720
Waikato region,70-74 Years,2007,Female,6170
Waikato region,70-74 Years,2009,Female,6530
Waikato region,70-74 Years,2006,Female,6070
Waikato region,70-74 Years,2008,Female,6290
Auckland region,70-74 Years,2014,Female,22930
Auckland region,70-74 Years,2012,Female,21490
Southland region,65-69 Years,2014,Female,2440
Auckland region,70-74 Years,2011,Female,20300
Auckland region,70-74 Years,2009,Female,18120
Southland region,65-69 Years,2015,Female,2480
Southland region,65-69 Years,2013,Female,2350
Southland region,65-69 Years,2012,Female,2160
Auckland region,70-74 Years,2010,Female,19080
Auckland region,70-74 Years,2008,Female,17320
Northland region,70-74 Years,2013,Female,3720
Northland region,70-74 Years,2015,Female,4060
Northland region,70-74 Years,2014,Female,3900
Southland region,65-69 Years,2009,Female,1980
Northland region,70-74 Years,2011,Female,3410
Northland region,70-74 Years,2012,Female,3630
Southland region,65-69 Years,2010,Female,2010
Southland region,65-69 Years,2008,Female,1970
Otago region,65-69 Years,2013,Female,5220
Southland region,65-69 Years,2011,Female,2030
Otago region,65-69 Years,2012,Female,4810
Southland region,65-69 Years,2007,Female,2000
Northland region,70-74 Years,2009,Female,2970
Auckland region,70-74 Years,2007,Female,16730
Otago region,65-69 Years,2015,Female,5840
Otago region,65-69 Years,2014,Female,5550
Auckland region,70-74 Years,2006,Female,16260
Northland region,70-74 Years,2010,Female,3210
Southland region,65-69 Years,2006,Female,1970
Otago region,65-69 Years,2011,Female,4530
Otago region,65-69 Years,2009,Female,4340
Otago region,65-69 Years,2010,Female,4460
Otago region,65-69 Years,2008,Female,4290
Northland region,70-74 Years,2008,Female,2840
Canterbury region,65-69 Years,2010,Female,12180
Otago region,65-69 Years,2007,Female,4250
Northland region,70-74 Years,2007,Female,2760
Northland region,70-74 Years,2006,Female,2670
Otago region,65-69 Years,2006,Female,4040
Canterbury region,65-69 Years,2008,Female,11640
Canterbury region,65-69 Years,2011,Female,12220
Canterbury region,65-69 Years,2009,Female,11900
Canterbury region,65-69 Years,2012,Female,12900
West Coast region,65-69 Years,2008,Female,740
Canterbury region,65-69 Years,2015,Female,15220
Canterbury region,65-69 Years,2013,Female,13930
Canterbury region,65-69 Years,2014,Female,14710
West Coast region,65-69 Years,2010,Female,780
West Coast region,65-69 Years,2012,Female,840
West Coast region,65-69 Years,2007,Female,740
West Coast region,65-69 Years,2009,Female,750
West Coast region,65-69 Years,2015,Female,930
West Coast region,65-69 Years,2011,Female,800
West Coast region,65-69 Years,2014,Female,920
Marlborough region,65-69 Years,2013,Female,1540
West Coast region,65-69 Years,2013,Female,880
Marlborough region,65-69 Years,2011,Female,1350
Marlborough region,65-69 Years,2015,Female,1650
Marlborough region,65-69 Years,2014,Female,1570
Marlborough region,65-69 Years,2009,Female,1270
Marlborough region,65-69 Years,2007,Female,1140
Marlborough region,65-69 Years,2012,Female,1400
Marlborough region,65-69 Years,2008,Female,1190
Marlborough region,65-69 Years,2010,Female,1310
Canterbury region,65-69 Years,2006,Female,11070
Nelson region,65-69 Years,2008,Female,980
Nelson region,65-69 Years,2009,Female,1030
Canterbury region,65-69 Years,2007,Female,11450
West Coast region,65-69 Years,2006,Female,690
Marlborough region,65-69 Years,2006,Female,1030
Nelson region,65-69 Years,2012,Female,1220
Nelson region,65-69 Years,2013,Female,1360
Nelson region,65-69 Years,2010,Female,1080
Nelson region,65-69 Years,2011,Female,1150
Nelson region,65-69 Years,2014,Female,1510
Nelson region,65-69 Years,2015,Female,1610
Tasman region,65-69 Years,2011,Female,1290
Tasman region,65-69 Years,2015,Female,1750
Tasman region,65-69 Years,2014,Female,1660
Tasman region,65-69 Years,2009,Female,1130
Tasman region,65-69 Years,2013,Female,1540
Tasman region,65-69 Years,2008,Female,1090
Tasman region,65-69 Years,2010,Female,1210
Tasman region,65-69 Years,2007,Female,1060
Nelson region,65-69 Years,2007,Female,960
Tasman region,65-69 Years,2012,Female,1400
Nelson region,65-69 Years,2006,Female,890
Tasman region,65-69 Years,2006,Female,990
Wellington region,65-69 Years,2013,Female,10990
Wellington region,65-69 Years,2015,Female,11970
Wellington region,65-69 Years,2012,Female,10180
Wellington region,65-69 Years,2014,Female,11570
Wellington region,65-69 Years,2007,Female,8780
Wellington region,65-69 Years,2009,Female,9200
Wellington region,65-69 Years,2008,Female,8940
Manawatu-Wanganui region,65-69 Years,2011,Female,5360
Manawatu-Wanganui region,65-69 Years,2013,Female,5930
Manawatu-Wanganui region,65-69 Years,2015,Female,6510
Wellington region,65-69 Years,2011,Female,9620
Wellington region,65-69 Years,2010,Female,9400
Wellington region,65-69 Years,2006,Female,8390
Manawatu-Wanganui region,65-69 Years,2006,Female,4920
Manawatu-Wanganui region,65-69 Years,2012,Female,5630
Manawatu-Wanganui region,65-69 Years,2014,Female,6240
Taranaki region,65-69 Years,2009,Female,2410
Taranaki region,65-69 Years,2007,Female,2320
Manawatu-Wanganui region,65-69 Years,2009,Female,5280
Manawatu-Wanganui region,65-69 Years,2007,Female,5090
Manawatu-Wanganui region,65-69 Years,2008,Female,5190
Manawatu-Wanganui region,65-69 Years,2010,Female,5310
Taranaki region,65-69 Years,2008,Female,2320
Taranaki region,65-69 Years,2013,Female,2910
Taranaki region,65-69 Years,2011,Female,2530
Taranaki region,65-69 Years,2010,Female,2430
Taranaki region,65-69 Years,2012,Female,2730
Taranaki region,65-69 Years,2014,Female,3030
Hawke's Bay region,65-69 Years,2015,Female,4840
Taranaki region,65-69 Years,2015,Female,3150
Hawke's Bay region,65-69 Years,2013,Female,4320
Gisborne region,65-69 Years,2015,Female,1190
Taranaki region,65-69 Years,2006,Female,2330
Hawke's Bay region,65-69 Years,2014,Female,4600
Hawke's Bay region,65-69 Years,2009,Female,3530
Hawke's Bay region,65-69 Years,2011,Female,3760
Hawke's Bay region,65-69 Years,2012,Female,4010
Hawke's Bay region,65-69 Years,2010,Female,3630
Hawke's Bay region,65-69 Years,2008,Female,3460
Gisborne region,65-69 Years,2011,Female,930
Gisborne region,65-69 Years,2009,Female,900
Gisborne region,65-69 Years,2007,Female,890
Hawke's Bay region,65-69 Years,2007,Female,3410
Hawke's Bay region,65-69 Years,2006,Female,3200
Gisborne region,65-69 Years,2008,Female,910
Gisborne region,65-69 Years,2010,Female,910
Gisborne region,65-69 Years,2012,Female,990
Bay of Plenty region,65-69 Years,2007,Female,6450
Gisborne region,65-69 Years,2013,Female,1080
Gisborne region,65-69 Years,2014,Female,1110
Gisborne region,65-69 Years,2006,Female,870
Bay of Plenty region,65-69 Years,2008,Female,6490
Bay of Plenty region,65-69 Years,2010,Female,6920
Bay of Plenty region,65-69 Years,2011,Female,6950
Bay of Plenty region,65-69 Years,2009,Female,6730
Bay of Plenty region,65-69 Years,2012,Female,7320
Bay of Plenty region,65-69 Years,2014,Female,8140
Bay of Plenty region,65-69 Years,2013,Female,7820
Bay of Plenty region,65-69 Years,2015,Female,8620
Bay of Plenty region,65-69 Years,2006,Female,6190
Waikato region,65-69 Years,2013,Female,10440
Waikato region,65-69 Years,2015,Female,11470
Waikato region,65-69 Years,2014,Female,11000
Waikato region,65-69 Years,2012,Female,9760
Auckland region,65-69 Years,2015,Female,32810
Waikato region,65-69 Years,2007,Female,8110
Waikato region,65-69 Years,2009,Female,8590
Waikato region,65-69 Years,2011,Female,9220
Waikato region,65-69 Years,2010,Female,8980
Waikato region,65-69 Years,2008,Female,8270
Waikato region,65-69 Years,2006,Female,7750
Auckland region,65-69 Years,2009,Female,24540
Otago region,60-64 Years,2015,Female,6240
Auckland region,65-69 Years,2010,Female,25290
Auckland region,65-69 Years,2012,Female,27790
Auckland region,65-69 Years,2013,Female,29900
Auckland region,65-69 Years,2011,Female,26200
Auckland region,65-69 Years,2014,Female,31360
Southland region,60-64 Years,2013,Female,2590
Northland region,65-69 Years,2015,Female,5450
Southland region,60-64 Years,2014,Female,2660
Southland region,60-64 Years,2012,Female,2640
Northland region,65-69 Years,2013,Female,4960
Auckland region,65-69 Years,2007,Female,23190
Southland region,60-64 Years,2015,Female,2700
Southland region,60-64 Years,2011,Female,2640
Southland region,60-64 Years,2010,Female,2580
Auckland region,65-69 Years,2008,Female,23620
Auckland region,65-69 Years,2006,Female,21980
Northland region,65-69 Years,2014,Female,5170
Southland region,60-64 Years,2007,Female,2240
Northland region,65-69 Years,2011,Female,4350
Northland region,65-69 Years,2012,Female,4610
Northland region,65-69 Years,2010,Female,4170
Otago region,60-64 Years,2013,Female,6050
Southland region,60-64 Years,2009,Female,2540
Southland region,60-64 Years,2008,Female,2440
Southland region,60-64 Years,2006,Female,2130
Otago region,60-64 Years,2012,Female,6090
Northland region,65-69 Years,2009,Female,4020
Otago region,60-64 Years,2011,Female,6080
Otago region,60-64 Years,2014,Female,6090
Northland region,65-69 Years,2008,Female,3870
Canterbury region,60-64 Years,2015,Female,16670
Otago region,60-64 Years,2007,Female,4860
Otago region,60-64 Years,2009,Female,5620
Northland region,65-69 Years,2007,Female,3770
Northland region,65-69 Years,2006,Female,3580
Otago region,60-64 Years,2010,Female,5860
Otago region,60-64 Years,2006,Female,4590
Otago region,60-64 Years,2008,Female,5290
Canterbury region,60-64 Years,2014,Female,16470
Marlborough region,60-64 Years,2015,Female,1630
West Coast region,60-64 Years,2015,Female,1060
West Coast region,60-64 Years,2014,Female,1020
Tasman region,60-64 Years,2015,Female,1870
Nelson region,60-64 Years,2015,Female,1670
Canterbury region,60-64 Years,2009,Female,15600
Canterbury region,60-64 Years,2011,Female,16290
Canterbury region,60-64 Years,2013,Female,16360
Canterbury region,60-64 Years,2007,Female,13670
Canterbury region,60-64 Years,2010,Female,16290
Canterbury region,60-64 Years,2008,Female,14750
Canterbury region,60-64 Years,2006,Female,12750
Marlborough region,60-64 Years,2013,Female,1630
West Coast region,60-64 Years,2013,Female,990
Canterbury region,60-64 Years,2012,Female,16130
West Coast region,60-64 Years,2012,Female,990
Marlborough region,60-64 Years,2012,Female,1680
Marlborough region,60-64 Years,2014,Female,1660
Nelson region,60-64 Years,2014,Female,1630
Nelson region,60-64 Years,2013,Female,1620
Nelson region,60-64 Years,2011,Female,1560
Nelson region,60-64 Years,2012,Female,1610
Tasman region,60-64 Years,2011,Female,1780
Tasman region,60-64 Years,2013,Female,1820
Tasman region,60-64 Years,2012,Female,1820
Tasman region,60-64 Years,2014,Female,1800
West Coast region,60-64 Years,2007,Female,880
West Coast region,60-64 Years,2011,Female,1010
Marlborough region,60-64 Years,2007,Female,1370
West Coast region,60-64 Years,2009,Female,970
West Coast region,60-64 Years,2010,Female,1000
West Coast region,60-64 Years,2008,Female,940
West Coast region,60-64 Years,2006,Female,850
Marlborough region,60-64 Years,2006,Female,1320
Marlborough region,60-64 Years,2008,Female,1510
Marlborough region,60-64 Years,2010,Female,1630
Marlborough region,60-64 Years,2009,Female,1560
Marlborough region,60-64 Years,2011,Female,1690
Nelson region,60-64 Years,2008,Female,1280
Nelson region,60-64 Years,2006,Female,1090
Nelson region,60-64 Years,2010,Female,1490
Nelson region,60-64 Years,2009,Female,1400
Nelson region,60-64 Years,2007,Female,1150
Tasman region,60-64 Years,2007,Female,1340
Tasman region,60-64 Years,2009,Female,1600
Tasman region,60-64 Years,2008,Female,1460
Tasman region,60-64 Years,2010,Female,1690
Tasman region,60-64 Years,2006,Female,1260
Wellington region,60-64 Years,2014,Female,12950
Wellington region,60-64 Years,2015,Female,13200
Wellington region,60-64 Years,2007,Female,10600
Wellington region,60-64 Years,2009,Female,12000
Wellington region,60-64 Years,2011,Female,12770
Manawatu-Wanganui region,60-64 Years,2015,Female,7050
Manawatu-Wanganui region,60-64 Years,2014,Female,6910
Wellington region,60-64 Years,2010,Female,12430
Wellington region,60-64 Years,2008,Female,11410
Wellington region,60-64 Years,2006,Female,10070
Wellington region,60-64 Years,2012,Female,12780
Hawke's Bay region,60-64 Years,2015,Female,5220
Taranaki region,60-64 Years,2015,Female,3410
Manawatu-Wanganui region,60-64 Years,2013,Female,6810
Wellington region,60-64 Years,2013,Female,12740
Taranaki region,60-64 Years,2014,Female,3390
Manawatu-Wanganui region,60-64 Years,2011,Female,6770
Gisborne region,60-64 Years,2015,Female,1400
Hawke's Bay region,60-64 Years,2014,Female,5200
Gisborne region,60-64 Years,2014,Female,1380
Manawatu-Wanganui region,60-64 Years,2012,Female,6750
Manawatu-Wanganui region,60-64 Years,2007,Female,5680
Manawatu-Wanganui region,60-64 Years,2009,Female,6250
Manawatu-Wanganui region,60-64 Years,2010,Female,6490
Manawatu-Wanganui region,60-64 Years,2008,Female,5990
Manawatu-Wanganui region,60-64 Years,2006,Female,5470
Taranaki region,60-64 Years,2006,Female,2580
Taranaki region,60-64 Years,2009,Female,3040
Taranaki region,60-64 Years,2013,Female,3350
Taranaki region,60-64 Years,2012,Female,3270
Taranaki region,60-64 Years,2008,Female,2930
Taranaki region,60-64 Years,2011,Female,3260
Taranaki region,60-64 Years,2007,Female,2750
Taranaki region,60-64 Years,2010,Female,3190
Hawke's Bay region,60-64 Years,2012,Female,5090
Gisborne region,60-64 Years,2013,Female,1320
Hawke's Bay region,60-64 Years,2013,Female,5130
Bay of Plenty region,60-64 Years,2014,Female,8910
Hawke's Bay region,60-64 Years,2011,Female,5050
Bay of Plenty region,60-64 Years,2015,Female,9110
Hawke's Bay region,60-64 Years,2007,Female,3980
Hawke's Bay region,60-64 Years,2009,Female,4580
Hawke's Bay region,60-64 Years,2010,Female,4800
Hawke's Bay region,60-64 Years,2008,Female,4310
Hawke's Bay region,60-64 Years,2006,Female,3720
Gisborne region,60-64 Years,2006,Female,960
Gisborne region,60-64 Years,2008,Female,1080
Gisborne region,60-64 Years,2009,Female,1140
Gisborne region,60-64 Years,2007,Female,1000
Gisborne region,60-64 Years,2010,Female,1220
Bay of Plenty region,60-64 Years,2009,Female,7890
Waikato region,60-64 Years,2015,Female,12600
Bay of Plenty region,60-64 Years,2013,Female,8540
Gisborne region,60-64 Years,2011,Female,1280
Gisborne region,60-64 Years,2012,Female,1320
Bay of Plenty region,60-64 Years,2012,Female,8490
Bay of Plenty region,60-64 Years,2006,Female,6730
Bay of Plenty region,60-64 Years,2007,Female,7170
Bay of Plenty region,60-64 Years,2011,Female,8570
Bay of Plenty region,60-64 Years,2010,Female,8270
Bay of Plenty region,60-64 Years,2008,Female,7640
Waikato region,60-64 Years,2014,Female,12130
Waikato region,60-64 Years,2009,Female,10900
Waikato region,60-64 Years,2013,Female,11910
Waikato region,60-64 Years,2012,Female,11810
Waikato region,60-64 Years,2010,Female,11320
